fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,date,fire_scar,site,plot,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
7b376fbb-d531-488b-a61e-56f2c62219f6,2024-07-14 20:42:29 UTC,2024-07-17 07:06:01 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:33 UTC,2024-07-17 07:06:03 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,B,,,,,
ec74ecaf-9221-4e91-a59b-8625a7483a4c,2024-07-14 20:43:13 UTC,2024-07-17 07:06:09 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:34 UTC,2024-07-17 07:06:11 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,C,,,,,
218608fa-fcc8-4f2d-803b-02fc3145cef8,2024-07-14 23:04:56 UTC,2024-07-17 07:06:15 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:34 UTC,2024-07-17 07:06:36 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,A,,,,,
0a80498b-3109-4a0a-9d61-d61b9faffdf2,2024-07-14 23:07:51 UTC,2024-07-17 07:06:21 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:36 UTC,2024-07-17 07:06:53 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,B,,,,,
d3cc6b59-2210-42bc-899d-deac35fd8894,2024-07-14 23:10:02 UTC,2024-07-17 07:06:27 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:37 UTC,2024-07-17 07:06:46 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,C,,,,,
110e194e-7b8d-470b-a690-c74846713ef1,2024-07-15 00:46:10 UTC,2024-07-17 07:06:33 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:39 UTC,2024-07-17 07:06:39 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,A,,,,,
395bf2c7-5e42-4092-b36e-3a6f30d2de0d,2024-07-14 20:41:16 UTC,2024-07-17 07:06:39 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:40 UTC,2024-07-17 07:06:42 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,A,,,,,
5fa0b1d4-8ddb-43cd-b5d7-a471b5748e0e,2024-07-15 00:47:27 UTC,2024-07-17 07:06:44 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:40 UTC,2024-07-17 07:06:50 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,B,,,,,
e1ea0cb2-2d4a-40ec-9a5f-9285270c3953,2024-07-15 00:48:08 UTC,2024-07-17 07:06:52 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:41 UTC,2024-07-17 07:06:56 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,C,,,,,
e6c22f5f-cb6c-4c9b-954e-aa53c57bd0f0,2024-07-15 21:11:17 UTC,2024-07-15 21:16:39 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:56:05 UTC,2024-07-16 04:56:05 UTC,1,,,,,,,2024-07-15,Lost horse,LoHo1,A,,,,,
