fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,created_at,updated_at,created_by,updated_by,species,species_other,diameter_cm,decay_class,combustion,cwd_notes,cwd_photo,cwd_photo_caption,cwd_photo_url
1e0d8d94-a0d3-487b-954c-34efd093df14,18f846a4-44cd-4428-9444-ba71b6988060,18f846a4-44cd-4428-9444-ba71b6988060,1,2024-07-15 21:16:50 UTC,2024-07-15 21:17:04 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,6.5,crumbly,25,,,,
c9b5b95e-86a0-4dea-8c1e-a8625c1a3c42,e85afe93-c1f1-4101-b849-657031c3447c,e85afe93-c1f1-4101-b849-657031c3447c,2,2024-07-16 00:33:12 UTC,2024-07-16 00:33:25 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,10.5,crumbly,25,,,,
ca997d0f-24df-4d98-bfbe-7e2a02213435,abaa1e04-3886-4867-934e-898865367bb9,abaa1e04-3886-4867-934e-898865367bb9,1,2024-07-18 22:35:51 UTC,2024-07-18 22:37:36 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,unknown,,2.7,hard,25,,,,
0365ebc3-9298-47bb-b17f-0b658a4b3f03,34739d79-b612-478f-81f2-82106ea3e89c,34739d79-b612-478f-81f2-82106ea3e89c,1,2024-07-19 01:12:36 UTC,2024-07-19 01:13:03 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,unknown,,3.1,hard,50,,,,
d6559e0b-f060-4c30-8056-0c0c19d69a02,34739d79-b612-478f-81f2-82106ea3e89c,34739d79-b612-478f-81f2-82106ea3e89c,1,2024-07-19 01:13:04 UTC,2024-07-19 01:13:28 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,unknown,,3.1,hard,50,,,,
d7fec301-98f0-4f7a-befc-06b2a2863e16,265af700-2e56-457c-902f-0a4a36fa2d2d,265af700-2e56-457c-902f-0a4a36fa2d2d,1,2024-07-25 20:32:54 UTC,2024-07-25 20:33:09 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,4.2,hard,25,,,,
a465fbc9-aa20-4e7e-b455-305421d6e8e4,973170cf-1b57-4e3d-b08d-dd22f89bbca6,973170cf-1b57-4e3d-b08d-dd22f89bbca6,1,2024-07-25 23:45:40 UTC,2024-07-25 23:46:16 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,unknown,,2.6,hard,75,Not included in browns transect,,,
02efb750-348b-4047-9031-27bf10877fbe,18573bb6-b8f6-4256-bcf3-19f09ead8c84,18573bb6-b8f6-4256-bcf3-19f09ead8c84,1,2024-07-25 23:47:16 UTC,2024-07-25 23:47:46 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,4.3,hard,50,Not included in browns transect,,,
1ce00905-b4d5-4149-82f2-dfc22fde1c59,99ef9fd7-2f59-4ac6-b0e6-6b4ed805e47e,99ef9fd7-2f59-4ac6-b0e6-6b4ed805e47e,1,2024-07-28 23:28:09 UTC,2024-07-28 23:28:25 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,3.5,hard,75,,,,
f4b45984-0a78-4968-8f1f-56222e17a8bd,99ef9fd7-2f59-4ac6-b0e6-6b4ed805e47e,99ef9fd7-2f59-4ac6-b0e6-6b4ed805e47e,1,2024-07-28 23:28:27 UTC,2024-07-28 23:29:02 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,3,hard,75,,,,
2fa1ff70-86cd-4778-a223-a63fcdcab9d0,4054f631-ee87-47b1-a23b-4b7e250f7759,4054f631-ee87-47b1-a23b-4b7e250f7759,1,2024-07-28 23:29:56 UTC,2024-07-28 23:30:14 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,unknown,,3,hard,100,,,,
6f484fdf-03d1-4ce6-8c36-6d4ec4422ba9,aabd65e3-7a2f-47c2-928b-1559877a5c0a,aabd65e3-7a2f-47c2-928b-1559877a5c0a,1,2024-07-29 17:48:39 UTC,2024-07-29 17:49:13 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,,4.7,hard,25,,,,
