fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,created_at,updated_at,created_by,updated_by,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos,photos_caption,photos_url
8f06ef47-4693-43fc-9460-4cd83385ff5c,20c6cf82-425b-4734-8d94-c9703cab3fc7,20c6cf82-425b-4734-8d94-c9703cab3fc7,2,2024-07-14 18:49:11 UTC,2024-07-14 18:53:53 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,7.9,,50,100,75,25,0,,Dead,,,,
59f65856-4193-434c-a6de-6bfa5e4cce44,20c6cf82-425b-4734-8d94-c9703cab3fc7,20c6cf82-425b-4734-8d94-c9703cab3fc7,2,2024-07-14 18:53:55 UTC,2024-07-14 18:55:04 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,,2.5,NA,75,50,50,0,,Dead,,,,
0d810282-7bb1-4084-8afd-b27ea722de4e,20c6cf82-425b-4734-8d94-c9703cab3fc7,20c6cf82-425b-4734-8d94-c9703cab3fc7,2,2024-07-14 18:55:05 UTC,2024-07-14 18:56:04 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,,4.2,NA,75,75,50,0,,Dead,,,,
902f56db-ca95-41d0-ab5f-1e61e223660e,20c6cf82-425b-4734-8d94-c9703cab3fc7,20c6cf82-425b-4734-8d94-c9703cab3fc7,2,2024-07-14 18:56:28 UTC,2024-07-14 18:57:06 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,2,,0,25,25,25,0,,Dead,,,,
30ea5079-0366-483d-9980-05b3a5e2fcdc,20c6cf82-425b-4734-8d94-c9703cab3fc7,20c6cf82-425b-4734-8d94-c9703cab3fc7,2,2024-07-14 18:57:12 UTC,2024-07-14 18:57:43 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,,2.8,NA,75,50,25,0,,Dead,,,,
7f9e2238-3866-4a33-8073-d5b08629ed9e,724238d9-c72a-4948-8ffa-760f09045342,724238d9-c72a-4948-8ffa-760f09045342,2,2024-07-14 18:58:09 UTC,2024-07-14 18:58:37 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,0.7,,NA,75,75,75,0,,Dead,,,,
306ab587-a695-4d6b-b8dd-7f6403c5e611,724238d9-c72a-4948-8ffa-760f09045342,724238d9-c72a-4948-8ffa-760f09045342,2,2024-07-14 18:58:38 UTC,2024-07-14 18:59:06 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,2.7,,0,50,50,25,0,,Dead,,,,
9a0bc005-73fe-4d9d-8afd-a1e9dd461e11,724238d9-c72a-4948-8ffa-760f09045342,724238d9-c72a-4948-8ffa-760f09045342,2,2024-07-14 18:59:21 UTC,2024-07-14 18:59:49 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,9.5,,25,25,25,0,0,,Dead,,,,
9d94630d-9795-4a45-acf8-7dfce612577d,724238d9-c72a-4948-8ffa-760f09045342,724238d9-c72a-4948-8ffa-760f09045342,2,2024-07-14 19:00:07 UTC,2024-07-14 19:00:32 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,,1.6,NA,75,75,50,0,,Dead,,,,
4d60250f-dc2c-49e2-ba67-1fd9f7126db2,724238d9-c72a-4948-8ffa-760f09045342,724238d9-c72a-4948-8ffa-760f09045342,2,2024-07-14 19:00:46 UTC,2024-07-14 19:01:15 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,black spruce,yes,no,2.7,,NA,75,75,75,0,,Dead,,,,
