fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,plant_species,plant_species_other,plant_species_cover,veg_cover_notes,plant_photos,plant_photos_caption,plant_photos_url
481ed1c7-adb0-4ff0-a945-8068b30f663d,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499595938133,-147.63119968173362,POINT (-147.63119968173362 65.17499595938133),2024-07-14 23:45:09 UTC,2024-07-14 23:45:22 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Calamagrostis canadensis,,7,,,,
b846dd34-eed7-4007-b6c4-9d160d6a4383,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17500056735547,-147.6312060751784,POINT (-147.6312060751784 65.17500056735547),2024-07-14 23:45:24 UTC,2024-07-14 23:45:32 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Epilobium angustifolium [Chamerion angustifolium],,5,,,,
c1c2e995-c7fe-40ce-ad08-5cf9b1f1b1be,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499400852292,-147.63120716399163,POINT (-147.63120716399163 65.17499400852292),2024-07-14 23:45:33 UTC,2024-07-14 23:45:40 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Vaccinium uliginosum,,1,,,,
460fd0f4-2b38-4e6d-9c11-15bd6867cb75,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499335602601,-147.63120860107418,POINT (-147.63120860107418 65.17499335602601),2024-07-14 23:45:41 UTC,2024-07-14 23:45:47 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Vaccinium vitis-idaea,,0.1,,,,
4417be61-7ce8-4f37-89f2-e3622b5a2dad,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499340957936,-147.63120918094066,POINT (-147.63120918094066 65.17499340957936),2024-07-14 23:46:02 UTC,2024-07-14 23:46:12 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Coarse woody debris,,0.1,,,,
9b027798-cfc3-4a7d-b434-a1e4499c037a,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2,65.17499137977414,-147.63121302958393,POINT (-147.63121302958393 65.17499137977414),2024-07-14 23:46:12 UTC,2024-07-14 23:46:20 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Fine Woody Debris,,0.1,,,,
0c48818d-1dc2-49e9-a6d7-001091b83b08,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2,65.17501893925058,-147.63119288733938,POINT (-147.63119288733938 65.17501893925058),2024-07-14 23:49:34 UTC,2024-07-14 23:49:44 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Cornus canadensis,,4,,,,
0c8592f5-8d00-4456-9a7f-3fd959b1bef4,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2,65.17501734668897,-147.631191881511,POINT (-147.631191881511 65.17501734668897),2024-07-14 23:49:45 UTC,2024-07-14 23:49:52 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Vaccinium vitis-idaea,,0.1,,,,
eeacf8fa-0d46-4242-be43-441884bce068,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2,65.17501697101841,-147.63116674570523,POINT (-147.63116674570523 65.17501697101841),2024-07-14 23:49:54 UTC,2024-07-14 23:50:02 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Epilobium angustifolium [Chamerion angustifolium],,3,,,,
b38b8764-c9e4-4bf1-8168-7e3bc912d73b,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2,65.17500629541684,-147.63117228091534,POINT (-147.63117228091534 65.17500629541684),2024-07-14 23:50:03 UTC,2024-07-14 23:50:10 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Vaccinium uliginosum,,1,,,,
8e52eaf7-710a-405f-82d1-2ab5b1bbbc5e,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2,65.17500952331099,-147.63117655163947,POINT (-147.63117655163947 65.17500952331099),2024-07-14 23:50:12 UTC,2024-07-14 23:50:27 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula nana,,0.1,,,,
