fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,date,fire_scar,site,plot,count_1_hr,1_hr_fuel_notes,count_10_hr,10_hr_fuel_notes,count_100_hr,100_hr_fuel_notes,count_1000_hr,1000_hr_fuel_notes
6418c9d2-4607-409e-ad18-a8662f62a78f,2024-07-14 20:38:16 UTC,2024-07-17 07:07:32 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:25 UTC,2024-07-17 07:07:43 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,A,4,,1,,0,,0,
7db1b142-ecf6-419b-814c-00de3821ca30,2024-07-14 20:41:54 UTC,2024-07-17 07:07:39 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:26 UTC,2024-07-17 07:08:21 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,B,3,,1,,0,,0,
ce10f17d-45ef-4b58-ad20-45d61fa1c06b,2024-07-14 23:02:26 UTC,2024-07-17 07:07:44 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:27 UTC,2024-07-17 07:08:15 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,A,0,,2,,0,,0,
409206cc-c96c-45ba-ad39-bbe37e9f5fbd,2024-07-14 23:05:54 UTC,2024-07-17 07:07:49 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:27 UTC,2024-07-17 07:08:09 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,B,2,,2,,2,,0,
4a06b790-dbd9-4626-a85d-cec95dac684e,2024-07-14 23:08:16 UTC,2024-07-17 07:07:54 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:28 UTC,2024-07-17 07:08:04 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,C,5,,0,,0,,0,
2ce49372-79db-47f2-817a-4befc7f3cfd1,2024-07-15 00:45:03 UTC,2024-07-17 07:08:02 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:28 UTC,2024-07-17 07:08:07 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,A,0,,1,,1,,0,
41797030-cf4c-4e1b-a924-cbe9906d1dbf,2024-07-15 00:46:32 UTC,2024-07-17 07:08:14 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:29 UTC,2024-07-17 07:08:18 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,B,1,,0,,1,,0,
39082dfb-9d5e-4cc3-890d-cf991eaf740a,2024-07-15 00:47:43 UTC,2024-07-17 07:08:19 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:30 UTC,2024-07-17 07:08:24 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,C,1,,0,,1,,0,
34385bfb-2629-4f2b-a539-85cd0fa3bfc9,2024-07-14 20:42:51 UTC,2024-07-17 07:08:08 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:31 UTC,2024-07-17 07:08:12 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,C,2,,1,,0,,0,
d8d1f6df-3cf0-4539-aad3-2e2b3ec33330,2024-07-15 21:12:03 UTC,2024-07-15 21:13:43 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:56:01 UTC,2024-07-16 04:56:01 UTC,1,,,,,,,2024-07-15,Lost horse ,LoHo1,A,0,,0,,1,,0,
