fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,date,fire_scar,site,site_remove,plot,location,location_other,site_notes,seedlings_present,resprouts_present,shrub_regen_present,photos,photos_caption,photos_url,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
cf8646c2-5e0d-44c0-9f01-0d82d9eff5c3,2024-07-14 23:44:21 UTC,2024-07-17 06:41:53 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:44 UTC,2024-07-17 06:45:12 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,A,3 m,,,no,no,no,df063888-43dd-4d4b-93ed-220046062642,,https://web.fulcrumapp.com/photos/view?photos=df063888-43dd-4d4b-93ed-220046062642,,,,,
f02311be-6b4f-4bac-b5b1-71481bdcf1ab,2024-07-14 23:49:17 UTC,2024-07-17 06:41:56 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:45 UTC,2024-07-17 06:45:00 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,A,6 m,,,no,no,no,105c67bc-6e93-4e42-93a2-f4f2707e1953,,https://web.fulcrumapp.com/photos/view?photos=105c67bc-6e93-4e42-93a2-f4f2707e1953,,,,,
f2fa45f4-4281-45a1-b6f4-a6c1cf58795f,2024-07-14 23:56:59 UTC,2024-07-17 06:41:58 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:46 UTC,2024-07-17 06:44:50 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,A,9 m,,,no,no,no,1d50a3d0-2250-46fd-9031-0286d6d0ffab,,https://web.fulcrumapp.com/photos/view?photos=1d50a3d0-2250-46fd-9031-0286d6d0ffab,,,,,
98103400-7929-4476-9bd1-737c2e869546,2024-07-15 00:04:16 UTC,2024-07-17 06:42:02 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:47 UTC,2024-07-17 06:44:43 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,B,6 m,,,no,no,no,f3d6c3e8-b0b9-45f4-bf84-ad7f18dd597a,,https://web.fulcrumapp.com/photos/view?photos=f3d6c3e8-b0b9-45f4-bf84-ad7f18dd597a,,,,,
9005e826-a315-4bb1-8246-1425694eb2cf,2024-07-15 00:08:45 UTC,2024-07-17 06:42:04 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:49 UTC,2024-07-17 06:44:39 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,B,9 m,,,no,no,no,8c393bf3-6afa-40bc-a963-1fd0e4f8f8c4,,https://web.fulcrumapp.com/photos/view?photos=8c393bf3-6afa-40bc-a963-1fd0e4f8f8c4,,,,,
e942b4a3-a180-4e3f-8c06-df01e224c7cc,2024-07-15 00:15:09 UTC,2024-07-17 06:42:07 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:49 UTC,2024-07-17 06:44:35 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,C,3 m,,,yes,no,yes,12ca85d5-8124-46d2-bf08-fdaabe9c5edb,,https://web.fulcrumapp.com/photos/view?photos=12ca85d5-8124-46d2-bf08-fdaabe9c5edb,,,,,
4c62bd17-2749-4b59-8394-b07ed24e8e2b,2024-07-15 00:25:25 UTC,2024-07-17 06:42:09 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:50 UTC,2024-07-17 06:42:19 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,C,9 m,,,no,no,no,3e643c99-6a60-4bb3-afe2-b6dd40c6f844,,https://web.fulcrumapp.com/photos/view?photos=3e643c99-6a60-4bb3-afe2-b6dd40c6f844,,,,,
4e053de1-1b4b-49c2-8670-19248d7fdf2f,2024-07-15 00:31:52 UTC,2024-07-17 06:42:11 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:52 UTC,2024-07-17 06:44:32 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,C,9 m,,,no,no,no,21977c91-8ab4-4440-8473-88b477953c7f,,https://web.fulcrumapp.com/photos/view?photos=21977c91-8ab4-4440-8473-88b477953c7f,,,,,
f09963b3-a378-4c62-aac1-ddf66da63e16,2024-07-15 00:38:33 UTC,2024-07-17 06:42:14 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:53 UTC,2024-07-17 06:44:29 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,B,3 m,,,no,no,no,8d7b572a-3ee7-40bc-a2b9-bc7b88815045,,https://web.fulcrumapp.com/photos/view?photos=8d7b572a-3ee7-40bc-a2b9-bc7b88815045,,,,,
4f9209a4-e0ce-490c-a0d0-2b365d5c8af1,2024-07-14 19:08:52 UTC,2024-07-17 06:42:32 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:16:55 UTC,2024-07-17 06:44:05 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,1,A,3 m,,,no,no,no,e2eca4db-0eea-49d5-b147-d7d450385eb4,,https://web.fulcrumapp.com/photos/view?photos=e2eca4db-0eea-49d5-b147-d7d450385eb4,,,,,
