fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,created_at,updated_at,created_by,updated_by,shrub_regen_species,shrub_regen_species_other,shrub_regen_count,shrub_notes,s_bd1,s_bd2,s_bd3
72ece054-628f-4387-b5de-680f0dca6795,e942b4a3-a180-4e3f-8c06-df01e224c7cc,e942b4a3-a180-4e3f-8c06-df01e224c7cc,2,2024-07-15 00:22:08 UTC,2024-07-15 00:24:08 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Salix,,1,,0.9,,
b22b169b-af30-4f79-b776-12f24523f899,59f41b3d-fb33-4786-8003-72206c023120,59f41b3d-fb33-4786-8003-72206c023120,2,2024-07-14 20:39:50 UTC,2024-07-14 20:40:04 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula,,1,,1.38,,
2b599f27-0ab8-479f-b7ab-637cb190f5e0,68c1dc3e-4a6f-4b76-a36d-eab35dab2820,68c1dc3e-4a6f-4b76-a36d-eab35dab2820,2,2024-07-14 22:42:16 UTC,2024-07-14 22:44:12 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Salix,,51,,1.48,1.45,1.63
af35e799-22b3-4253-b214-bfccaa656e58,85ff2161-5ffa-4bd3-a891-07922295d67a,85ff2161-5ffa-4bd3-a891-07922295d67a,2,2024-07-14 20:17:22 UTC,2024-07-14 20:19:05 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula,,3,,1.29,1.3,1.4
423c71ef-53b5-4e01-8473-1de070c68053,85ff2161-5ffa-4bd3-a891-07922295d67a,85ff2161-5ffa-4bd3-a891-07922295d67a,2,2024-07-14 20:19:07 UTC,2024-07-14 20:19:14 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula,,2,,,,
2c536e83-9932-4966-8fe2-c91ef2a5533b,85ff2161-5ffa-4bd3-a891-07922295d67a,85ff2161-5ffa-4bd3-a891-07922295d67a,2,2024-07-14 20:19:15 UTC,2024-07-14 20:19:23 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula,,1,,,,
b10d1ce0-aaa6-44b2-8edf-81b2bb312229,85ff2161-5ffa-4bd3-a891-07922295d67a,85ff2161-5ffa-4bd3-a891-07922295d67a,2,2024-07-14 20:19:25 UTC,2024-07-14 20:19:31 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula,,1,,,,
dfb34c78-3a37-41ee-8aee-492c5323559e,85ff2161-5ffa-4bd3-a891-07922295d67a,85ff2161-5ffa-4bd3-a891-07922295d67a,2,2024-07-14 20:19:31 UTC,2024-07-14 20:19:41 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula,,2,,,,
11d03032-6730-4c69-a8e3-27cad31e8bec,85ff2161-5ffa-4bd3-a891-07922295d67a,85ff2161-5ffa-4bd3-a891-07922295d67a,2,2024-07-14 20:19:42 UTC,2024-07-14 20:20:28 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula,,4,,,,
3df9d910-8bbf-42ae-869a-fa8be536ebe3,85ff2161-5ffa-4bd3-a891-07922295d67a,85ff2161-5ffa-4bd3-a891-07922295d67a,2,2024-07-14 20:20:29 UTC,2024-07-14 20:20:33 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Betula,,10,,,,
63b4d288-50a5-4e10-b4fe-075ce8f5b86a,c28868b0-ad4f-47f7-b3ca-94b5701bcabd,c28868b0-ad4f-47f7-b3ca-94b5701bcabd,2,2024-07-15 22:30:48 UTC,2024-07-15 22:31:20 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,Salix,,3,,0.2,0.3,0.5
