fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,date,fire_scar,site,site_remove,plot,disk_label,disk_species,disk_sample_diameter,disk_height,disk_notes,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
26b4249d-62b7-4002-9e18-9cd0a7b97624,2024-07-14 20:18:27 UTC,2024-07-17 06:36:36 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:09 UTC,2024-07-17 06:36:38 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,1,A,CCE HAYS 1A,black spruce,12.7,11,,,,,,
a9235888-9fc5-44a5-b2ae-cc376f0fab8d,2024-07-14 20:23:25 UTC,2024-07-17 06:36:31 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:10 UTC,2024-07-17 06:36:33 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,1,B,CCE Hays1b ,black spruce,18,10,,,,,,
83c91fa1-5034-4b78-bd02-d33ff66e1a63,2024-07-14 20:34:24 UTC,2024-07-17 06:36:23 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:10 UTC,2024-07-17 06:36:24 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,1,C,CCE hays1c,black spruce,10.6,11,,,,,,
b751201d-93fe-4a3f-be7b-017fd8349ea6,2024-07-14 22:34:51 UTC,2024-07-17 06:36:16 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:11 UTC,2024-07-17 06:36:18 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,2,A,CCE Hays2a,black spruce,11,14,,,,,,
2c90c84f-830b-45ed-bade-42db754c1467,2024-07-14 22:44:17 UTC,2024-07-17 06:36:10 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:12 UTC,2024-07-17 06:36:12 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,2,B,Hays2b,black spruce,13.2,11.5,,,,,,
0f6065ad-9135-4442-9603-e7fc796fa09a,2024-07-14 22:46:20 UTC,2024-07-17 06:36:03 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:12 UTC,2024-07-17 06:36:05 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,2,C,HAYS2C,black spruce,9.1,5,,,,,,
035e7638-6548-42ba-b172-8ef9e8c37c2b,2024-07-15 00:46:08 UTC,2024-07-17 06:35:56 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:18:08 UTC,2024-07-17 06:35:58 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,A,CCE Hays3a ,black spruce,13.5,12,"Good luck sanding this one, isabel!",,,,,
4cfb9489-e569-4c2a-80e3-719c0acec597,2024-07-15 00:55:30 UTC,2024-07-17 06:35:48 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:18:25 UTC,2024-07-17 06:35:50 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,B,CC HAYS 3B,black spruce,11.4,2.5,,,,,,
d9c612e5-2ba0-4800-a172-d47e9f2d1b3d,2024-07-15 00:57:45 UTC,2024-07-17 06:35:42 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:18:38 UTC,2024-07-17 06:35:43 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,C,CCE HAYS 3C,black spruce,9.6,10,,,,,,
4dc35360-9533-471f-bd75-e67b5edb48f0,2024-07-15 23:07:38 UTC,2024-07-17 06:35:32 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:57:19 UTC,2024-07-17 06:35:34 UTC,2,,,,,,,2024-07-15,Lost horse,Loho2,2,B,CCE LoHo 2B,black spruce,10,9,,,,,,
