fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,created_at,updated_at,created_by,updated_by,location,green_moss,depth1,org_hit,org_hit_other,thaw_d,thaw_hit,thaw_hit_other,ar_sol_depth1,ar_sol_hit,ar_sol_hit_other,ar_height1,ar_height2,ar_height3,collected,sample_id,smple_num,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,sample_photo,sample_photo_caption,sample_photo_url,general_notes
598deb29-7832-4043-8065-9858452f720a,017b283e-f3aa-4e8a-b644-3600883a9f8c,017b283e-f3aa-4e8a-b644-3600883a9f8c,2,2024-07-14 19:19:41 UTC,2024-07-14 19:37:38 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,3 m,,5,Mineral,,82,Ice,,5.5,Mineral,,7.5,5,10,yes,HAYS1A,HAYS1A,4,6,10,10,12,11,,6,,,,,Core,Top=0-6 cm no M2 gravel,,,,
60dce778-ca89-4584-89df-4efdf0e0b639,017b283e-f3aa-4e8a-b644-3600883a9f8c,017b283e-f3aa-4e8a-b644-3600883a9f8c,2,2024-07-14 19:38:56 UTC,2024-07-14 19:41:36 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,6 m,,11.5,Mineral,,100,Ice,,10.5,Mineral,,5.5,10,,no,,NA,,,,,,,,,,,,,,,,,,
1bdc9931-a37d-4e1e-b549-104aaad12d88,5c85162b-4da1-4ea4-9206-3a2a7272ab03,5c85162b-4da1-4ea4-9206-3a2a7272ab03,2,2024-07-14 19:43:05 UTC,2024-07-14 19:51:35 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,3 m,,3,Mineral,,78,Frozen Ground,,5,Rock,,11,10.5,10,yes,HAYS1c,HAYS1c,3,3,8,7,11,11.5,,10,,,,,Core,"M1 5, m2 5 cm",,,,
2dcad6fa-2465-42da-8004-4f0a31714056,5c85162b-4da1-4ea4-9206-3a2a7272ab03,5c85162b-4da1-4ea4-9206-3a2a7272ab03,2,2024-07-14 19:51:36 UTC,2024-07-14 19:53:21 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,6 m,,13.5,Mineral,,65,Frozen Ground,,8,Mineral,,9,8,13,no,,Na,,,,,,,,,,,,,,,,,,
8ae3d9d9-cce5-4dbf-b7f2-126ba8aa3d53,5c85162b-4da1-4ea4-9206-3a2a7272ab03,5c85162b-4da1-4ea4-9206-3a2a7272ab03,2,2024-07-14 19:53:53 UTC,2024-07-14 19:55:03 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,9 m,,5,Mineral,,82,Frozen Ground,,10,Mineral,,9,8,9,no,,Na,,,,,,,,,,,,,,,,,,
777da904-51f7-492d-9dd3-e1b696ad8e33,48f64341-6134-4fda-99e0-b142d3829901,48f64341-6134-4fda-99e0-b142d3829901,2,2024-07-14 19:56:32 UTC,2024-07-14 20:05:17 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,3 m,,12,Mineral,,120,Rock,,1.5,Mineral,,6,3,5,yes,Hays1b,Hays1b,11.5,11,12,12,12,13,,10,,,,,Core,M1 and m2 both 5 cm,,,,
c42bce3c-08b2-45a6-9012-a7ebf3211d7b,48f64341-6134-4fda-99e0-b142d3829901,48f64341-6134-4fda-99e0-b142d3829901,2,2024-07-14 20:05:19 UTC,2024-07-14 20:08:54 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,6 m,,3,Mineral,,65,Rock,,7.5,Mineral,,10,3,,no,,Na,,,,,,,,,,,,,,,,,,
52f62ae1-0320-427d-acff-6b3bba8c982a,48f64341-6134-4fda-99e0-b142d3829901,48f64341-6134-4fda-99e0-b142d3829901,2,2024-07-14 20:08:57 UTC,2024-07-14 20:11:26 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,9 m,,10,Mineral,,75,Frozen Ground,,7,Mineral,,6,8,,no,,Na,,,,,,,,,,,,,,,,,,
86e61757-d9a9-4c5c-b0cf-9333bf940508,1cc83e24-c437-4fae-806e-ac09f2699de5,1cc83e24-c437-4fae-806e-ac09f2699de5,2,2024-07-14 21:44:22 UTC,2024-07-14 21:45:58 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,9 m,,11,Mineral,,120,>100cm,,11,Mineral,,11,12,,no,,Na,,,,,,,,,,,,,,,,,,Thaw depth greater than 120
3dd8fa26-c32b-49aa-8a22-43b317b87eeb,1cc83e24-c437-4fae-806e-ac09f2699de5,1cc83e24-c437-4fae-806e-ac09f2699de5,2,2024-07-14 21:46:32 UTC,2024-07-14 21:48:27 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,6 m,,18,"Mineral,Water",,110,">100cm,Frozen Ground",,6,Mineral,,6,14,10,no,,Na,,,,,,,,,,,,,,,,,,
6bfd331c-9de3-426a-a2aa-cb4670cec845,1cc83e24-c437-4fae-806e-ac09f2699de5,1cc83e24-c437-4fae-806e-ac09f2699de5,2,2024-07-14 21:51:50 UTC,2024-07-14 21:57:31 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,3 m,,5.5,Mineral,,100,Rock,,17,Mineral,,5,6,,yes,Hays2c,Hays2c,5.5,6,10,10.5,10,11,,10,,,,,Core,"M1 and m2 both 5 cm, slightly compacted core",,,,
5cbcb902-40f6-4334-bb51-ed5fa5d67d5a,4a0b207f-b08c-4118-9449-e7ab8f657d56,4a0b207f-b08c-4118-9449-e7ab8f657d56,2,2024-07-14 21:58:38 UTC,2024-07-14 22:00:12 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,6 m,,10.5,Mineral,,80,Rock,,9.5,Mineral,,20,10,15,no,,Na,,,,,,,,,,,,,,,,,,
23ffabfa-beec-4435-86b2-75991cf38112,4a0b207f-b08c-4118-9449-e7ab8f657d56,4a0b207f-b08c-4118-9449-e7ab8f657d56,2,2024-07-14 22:00:17 UTC,2024-07-14 22:01:41 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,9 m,,13,Mineral,,70,Rock,,5.5,Mineral,,5,7,12,no,,Na,,,,,,,,,,,,,,,,,,
e972a4f6-8288-4348-963f-f4bcc35b0816,4a0b207f-b08c-4118-9449-e7ab8f657d56,4a0b207f-b08c-4118-9449-e7ab8f657d56,2,2024-07-14 22:06:51 UTC,2024-07-14 22:15:06 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,3 m,,11,Mineral,,83,Rock,,7,Mineral,,10,13,17,yes,Hays2c,Hays2,10,8,10,10,11,11,,10,,,,,Core,M1 and m2 both 5 cm,,,,
e7caff5f-280e-4717-9efa-e18be80e14e8,93bd0f05-c71c-4816-b265-496de08cc0f8,93bd0f05-c71c-4816-b265-496de08cc0f8,2,2024-07-14 22:15:18 UTC,2024-07-14 22:23:18 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,3 m,,5.5,Mineral,,59,Rock,,6,Mineral,,6,7,,yes,Hays2a,Hays2a,6,5,9,10,9,10,,10,,,,,Core,M1 and m2 both 5 cm,,,,
66db7b9e-c6d5-4844-8beb-f017cd5e7fad,93bd0f05-c71c-4816-b265-496de08cc0f8,93bd0f05-c71c-4816-b265-496de08cc0f8,2,2024-07-14 22:23:19 UTC,2024-07-14 22:25:28 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,6 m,,19,Mineral,,75,Rock,,6.5,Mineral,,20,18,14,no,,Na,,,,,,,,,,,,,,,,,,
315b642d-54b1-47b0-8b30-e619729826be,93bd0f05-c71c-4816-b265-496de08cc0f8,93bd0f05-c71c-4816-b265-496de08cc0f8,2,2024-07-14 22:25:50 UTC,2024-07-14 22:27:14 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,9 m,,12,Mineral,,100,Rock,,5,Mineral,,8,10,,no,,Na,,,,,,,,,,,,,,,,,,
39c7b81e-c9b6-42bd-a3ba-f0d208932d8e,55c303f7-1dd1-416d-9960-1e5a0867190a,55c303f7-1dd1-416d-9960-1e5a0867190a,2,2024-07-14 23:46:34 UTC,2024-07-14 23:48:12 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,9 m,,11,Mineral,,68,Frozen Ground,,9,Mineral,,12,14,7,no,,Ha,,,,,,,,,,,,,,,,,,
69716609-3bf6-434f-be20-03adba64ae16,55c303f7-1dd1-416d-9960-1e5a0867190a,55c303f7-1dd1-416d-9960-1e5a0867190a,2,2024-07-14 23:48:45 UTC,2024-07-14 23:50:04 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,6 m,,18,Mineral,,85,Frozen Ground,,16,Mineral,,7,12,8,no,,Ha,,,,,,,,,,,,,,,,,,
