fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,date,fire_scar,site,site_remove,plot,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
017b283e-f3aa-4e8a-b644-3600883a9f8c,2024-07-14 19:19:27 UTC,2024-07-17 06:31:55 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:03 UTC,2024-07-17 06:31:57 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,1,A,,,,,
5c85162b-4da1-4ea4-9206-3a2a7272ab03,2024-07-14 19:42:53 UTC,2024-07-17 06:31:49 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:04 UTC,2024-07-17 06:31:52 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,1,C,,,,,
48f64341-6134-4fda-99e0-b142d3829901,2024-07-14 19:56:26 UTC,2024-07-17 06:31:44 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:05 UTC,2024-07-17 06:31:46 UTC,2,,,,,,,2024-07-14,Haystack,Hays1,1,B,,,,,
1cc83e24-c437-4fae-806e-ac09f2699de5,2024-07-14 21:44:18 UTC,2024-07-17 06:31:38 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:06 UTC,2024-07-17 06:31:39 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,2,C,,,,,
4a0b207f-b08c-4118-9449-e7ab8f657d56,2024-07-14 21:58:25 UTC,2024-07-17 06:31:31 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:06 UTC,2024-07-17 06:31:33 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,2,B,,,,,
93bd0f05-c71c-4816-b265-496de08cc0f8,2024-07-14 22:15:13 UTC,2024-07-17 06:31:22 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:17:07 UTC,2024-07-17 06:31:26 UTC,2,,,,,,,2024-07-14,Haystack,Hays2,2,A,,,,,
55c303f7-1dd1-416d-9960-1e5a0867190a,2024-07-14 23:46:22 UTC,2024-07-17 06:31:17 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:18:05 UTC,2024-07-17 06:31:18 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,C,,,,,
c7b8fd4c-772c-4afb-a8b4-cffd51bcf706,2024-07-15 00:12:12 UTC,2024-07-17 06:31:10 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-15 05:18:06 UTC,2024-07-17 06:31:12 UTC,2,,,,,,,2024-07-14,Haystack,Hays3,3,A,,,,,
9f001243-cd20-413f-a7fd-425db539cfef,2024-07-15 20:27:29 UTC,2024-07-16 06:07:22 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:56:25 UTC,2024-07-16 06:07:36 UTC,2,,,,,,,2024-07-15,Lost horse,LoHo1,1,C,,,,,
c23e145b-d7eb-4af7-985c-d571a8b04178,2024-07-15 20:39:22 UTC,2024-07-16 06:07:17 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:56:25 UTC,2024-07-16 06:07:26 UTC,2,,,,,,,2024-07-15,Lost horse,LoHo1,1,B,,,,,
93bb664b-8b32-489a-a753-a9379493320d,2024-07-15 20:50:09 UTC,2024-07-16 06:07:11 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 04:56:26 UTC,2024-07-16 06:07:26 UTC,2,,,,,,,2024-07-15,Lost horse,LoHo1,1,A,,,,,
d1612e78-7ba6-4023-885e-6e2e35e3bc8f,2024-07-15 22:31:08 UTC,2024-07-16 06:07:05 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-16 06:07:25 UTC,2024-07-16 06:07:25 UTC,1,,,,,,,2024-07-15,Lost horse,LoHo2,2,B,,,,,
94e9f6be-8922-446d-996a-d92a71d639f8,2024-07-16 18:07:48 UTC,2024-07-17 06:29:57 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:22:53 UTC,2024-07-17 06:29:59 UTC,2,,,,,,,2024-07-16,Shovel Creek,ShCr1,1,C,,,,,
6ef2dacf-09f6-4e17-ba63-3b80e34851cb,2024-07-16 18:14:00 UTC,2024-07-17 06:30:14 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:22:54 UTC,2024-07-17 06:30:16 UTC,2,,,,,,,2024-07-16,Shovel Creek,ShCr1,1,B,,,,,
9f1e85a4-2dab-42b4-9e80-9f68031f5650,2024-07-16 18:05:28 UTC,2024-07-16 18:22:59 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:22:54 UTC,2024-07-17 06:22:54 UTC,1,,,,,,,2024-07-16,Shovel creek,ShCr1,1,A,,,,,
9ef64e3c-71a4-4758-8d41-874ac3eda826,2024-07-16 19:42:13 UTC,2024-07-16 19:48:25 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:22:55 UTC,2024-07-17 06:22:55 UTC,1,,,,,,,2024-07-16,Shovel creek,ShCr2,1,B,,,,,
6b0c3426-6a6f-427c-8b44-37fc97f94a64,2024-07-16 19:39:36 UTC,2024-07-16 19:48:32 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:22:55 UTC,2024-07-17 06:22:55 UTC,1,,,,,,,2024-07-16,Shovel creek,ShCr2,1,A,,,,,
d1b44e5c-6934-4955-8067-6741c2b6ec0e,2024-07-16 19:44:53 UTC,2024-07-21 23:13:31 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:22:56 UTC,2024-07-21 23:13:32 UTC,2,,,,,,,2024-07-16,Shovel creek,ShCr2,1,C,,,,,
68b485ad-a5e2-43f2-bfab-5220dd2d3b2d,2024-07-16 21:30:34 UTC,2024-07-16 21:32:31 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:23:07 UTC,2024-07-17 06:23:07 UTC,1,,,,,,,2024-07-16,Shovel creek,ShCr3,1,B,,,,,
0a458a45-0160-4b07-9f59-b653b401b2ca,2024-07-16 21:28:55 UTC,2024-07-16 21:32:41 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:23:09 UTC,2024-07-17 06:23:09 UTC,1,,,,,,,2024-07-16,Shovel creek,ShCr3,1,A,,,,,
30007aa5-8135-4a37-8b9e-e40e26883241,2024-07-16 21:32:42 UTC,2024-07-16 21:35:00 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:23:09 UTC,2024-07-17 06:23:09 UTC,1,,,,,,,2024-07-16,Shovel creek,ShCr3,1,C,,,,,
41b799da-bbfe-424a-b441-9870513243f0,2024-07-16 22:46:57 UTC,2024-07-21 23:14:06 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:23:10 UTC,2024-07-21 23:14:07 UTC,3,,,,,,,2024-07-16,Shovel creek,ShCr4,1,A,,,,,
2ca44aaa-6b78-49eb-a73d-8408ee93437b,2024-07-16 22:50:15 UTC,2024-07-21 23:13:56 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:23:10 UTC,2024-07-21 23:13:57 UTC,3,,,,,,,2024-07-16,Shovel creek,ShCr4,1,B,,,,,
e0c884e5-d3d3-4c1f-9fe6-038d68656784,2024-07-16 22:51:17 UTC,2024-07-21 23:13:46 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 06:23:11 UTC,2024-07-21 23:13:48 UTC,3,,,,,,,2024-07-16,Shovel creek,ShCr4,1,C,,,,,
cc4ac4c5-ad42-4a5f-a6f7-4d5aafe2e088,2024-07-17 07:11:45 UTC,2024-07-21 23:14:54 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 07:15:11 UTC,2024-07-21 23:14:55 UTC,3,,,,,,,2024-07-15,Lost Horse,LoHo3,1,A,,,,,
3092cefe-f68f-40bb-bd12-60592f608f7d,2024-07-17 07:15:35 UTC,2024-07-21 23:14:45 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-17 07:18:41 UTC,2024-07-21 23:14:46 UTC,2,,,,,,,2024-07-15,Lost Horse,LoHo2,1,C,,,,,
2ce02965-3a0c-4c12-9c85-002bd7add513,2024-07-23 22:13:12 UTC,2024-07-23 22:25:33 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-24 03:27:41 UTC,2024-07-24 03:27:41 UTC,1,,,,,,,2024-07-23,Hess Creek,HeCr6,1,B,,,,,
565d889a-f7ec-4a05-86bf-c7c64f2e3056,2024-07-23 22:25:34 UTC,2024-07-23 22:40:44 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-24 03:27:41 UTC,2024-07-24 03:27:41 UTC,1,,,,,,,2024-07-23,Hess Creek,HeCr6,1,C,,,,,
dc495cf7-7569-4913-b63b-4dc89cc6bafe,2024-07-23 22:09:45 UTC,2024-07-23 22:56:13 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-24 03:27:42 UTC,2024-07-24 03:27:42 UTC,1,,,,,,,2024-07-23,Lost Horse,HeCr6,1,A,,,,,
465b3c8f-ce30-4bdd-9edb-d5ccda707fc6,2024-07-28 17:46:01 UTC,2024-07-28 18:07:28 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-29 04:43:56 UTC,2024-07-29 04:43:56 UTC,1,,,,,,,2024-07-28,McCoy Creek,McCr1,3,A,,,,,
26636338-a695-402c-a650-1d59a573c6f3,2024-07-28 18:09:11 UTC,2024-07-28 18:37:29 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-29 04:43:56 UTC,2024-07-29 04:43:56 UTC,1,,,,,,,2024-07-28,McCoy Creek,McCr1,3,B,,,,,
72c888a8-2dbe-4f45-9d9d-226a063fa964,2024-07-28 18:37:50 UTC,2024-07-28 18:58:11 UTC,xanthe.walker@nau.edu,xanthe.walker@nau.edu,2024-07-29 04:43:57 UTC,2024-07-29 04:43:57 UTC,1,,,,,,,2024-07-28,McCoy Creek,McCr1,3,C,,,,,
